"n_Acc","x","y","shoe","row_number","min_dist","horiz_dist","distance_shape","new_x"
0,-0.0616666666666667,-0.221666666666667,301,16402,0.0634209919681348,0.0634209919681348,0.168333333333333,-0.0829862487542597
0,-0.0483333333333333,-0.405,301,16403,0.0869226987360353,0.093571125650788,0.171666666666667,-0.0584704827573505
0,-0.0216666666666667,0.265,301,16404,0.151327459504216,0.153333333333333,0.191666666666667,-0.0237301587301588
0,-0.035,0.485,301,16405,0.014142135623731,0.0149071198499986,0.105,-0.0736367879181492
0,0.0316666666666667,0.285,301,16406,0.126929551764398,0.13,0.215,0.0421134020618557
0,0.115,0.341666666666667,301,16407,0.0284800124843916,0.0284800124843916,0.195,0.156293546478744
0,-0.0916666666666667,-0.271666666666667,301,16408,0.0405517502019881,0.0405517502019881,0.175,-0.121327021201611
0,0.111666666666667,-0.375,301,16409,0.0299999999999997,0.0299999999999997,0.171666666666667,0.135313725490196
0,0.025,-0.485,301,16410,0.0339934634239519,0.0636832439151427,0.138333333333333,0.0389964685622288
0,0.0483333333333333,0.285,301,16411,0.110805134257298,0.113333333333333,0.215,0.064278350515464
1,-0.0116666666666667,0.218333333333333,302,16412,0.167497927018681,0.17,0.191666666666667,-0.0123088685015291
1,0.015,0.375,302,16413,0.129657668925178,0.156702123647242,0.181666666666667,0.0158705084253847
1,0.0216666666666667,0.321666666666667,302,16414,0.158043594548396,0.170130668735665,0.205,0.023158124993496
1,0.0416666666666667,0.285,302,16415,0.154955190655593,0.163333333333333,0.215,0.04369918699187
1,0.045,0.285,302,16416,0.151803967156476,0.16,0.215,0.0471951219512195
1,0.0516666666666667,0.271666666666667,302,16417,0.149740516301441,0.156666666666667,0.221666666666667,0.0549733333333333
1,0.0516666666666667,0.205,302,16418,0.166699996667333,0.166799946709291,0.235,0.0555767605815913
1,0.0916666666666667,-0.455,302,16419,0.0240370085030932,0.027487370837451,0.155,0.119243406526131
1,0.165,0.131666666666667,302,16420,0.053437398472938,0.053437398472938,0.241666666666667,0.182546579838251
0,0.155,0.145,302,16421,0.0654896090146283,0.0666666666666667,0.241666666666667,0.168984962406015
0,-0.125,0.171666666666667,302,16422,0.05,0.05,0.191666666666667,-0.136904761904762
0,-0.0516666666666667,0.0983333333333333,302,16423,0.102686145338329,0.107134391199921,0.178333333333333,-0.0580215838148237
0,0.148333333333333,0.308333333333333,302,16424,0.0471404520791035,0.0471404520791035,0.211666666666667,0.160621139842236
0,-0.108333333333333,-0.328333333333333,302,16425,0.036666666666667,0.036666666666667,0.171666666666667,-0.128256704980842
0,0.0483333333333333,-0.471666666666667,302,16426,0.0366666666666663,0.0542627353203323,0.145,0.0683099598776189
0,-0.0816666666666667,-0.298333333333333,302,16427,0.0666666666666666,0.0666666666666666,0.175,-0.0963483146067416
0,-0.0783333333333333,0.215,302,16428,0.10088497300281,0.103333333333333,0.191666666666667,-0.082645259938838
0,0.0516666666666667,-0.471666666666667,302,16429,0.0359010987142297,0.0509901951359278,0.145,0.0729777487361038
0,0.0583333333333333,-0.378333333333333,302,16430,0.0971825315807552,0.103333333333333,0.171666666666667,0.0619415807560139
0,0.0383333333333333,0.395,302,16431,0.0991071249821234,0.120185042515466,0.171666666666667,0.0415128878296881
0,-0.0516666666666667,0.145,302,16432,0.118133634311129,0.12,0.188333333333333,-0.0566828478964402
0,0.00166666666666667,-0.258333333333333,302,16433,0.14522013940528,0.146818103636968,0.181666666666667,0.00203911671990758
0,0.0316666666666667,-0.488333333333333,302,16434,0.0200000000000003,0.053748384988657,0.138333333333333,0.0512855225239746
0,0.125,-0.358333333333333,302,16435,0.04,0.04,0.175,0.132575757575758
0,0.158333333333333,0.171666666666667,302,16436,0.0633333333333337,0.0633333333333337,0.241666666666667,0.172619047619047
0,0.121666666666667,0.275,302,16437,0.0823272602348561,0.0839311887467608,0.221666666666667,0.131175708959672
0,-0.118333333333333,0.125,302,16438,0.0485340659285371,0.0500000000000003,0.185,-0.130049504950495
0,0.055,-0.455,302,16439,0.0495535624910617,0.0636832439151427,0.155,0.0718298533034308
0,-0.0383333333333333,0.365,302,16440,0.125786415094088,0.13,0.171666666666667,-0.0390924092409241
1,-0.118333333333333,0.348333333333333,303,16441,0.0471404520791035,0.0471404520791035,0.175,-0.125145703784552
1,-0.0783333333333333,0.275,303,16442,0.0933333333333334,0.0933333333333334,0.188333333333333,-0.0859385113268608
1,-0.0616666666666667,0.188333333333333,303,16443,0.104668789787384,0.106666666666667,0.191666666666667,-0.0702145214521451
